file,type,line,frame
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/performance/performance_test.js,Conditional Test Logic,"{'line': 2, 'column': 2, 'index': 39}","  1 | describe('performance', function() {
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 978, 'column': 29, 'index': 24323}","  976 |         env.beforeEach(function() {
  977 |           actions.push('outer beforeEach');
> 978 |           env.expect(1).toBe(2);
      |                             ^ Magic Number
  979 |         });
  980 |
  981 |         env.afterEach(function() {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 1019, 'column': 29, 'index': 25373}","  1017 |         env.beforeEach(function() {
  1018 |           actions.push('outer beforeEach');
> 1019 |           env.expect(1).toBe(2);
       |                             ^ Magic Number
  1020 |         });
  1021 |
  1022 |         env.afterEach(function() {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 1292, 'column': 29, 'index': 34138}","  1290 |         env.it('fails', function() {
  1291 |           actions.push('fails');
> 1292 |           env.expect(1).toBe(2);
       |                             ^ Magic Number
  1293 |         });
  1294 |       });
  1295 |"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 1317, 'column': 31, 'index': 34765}","  1315 |           env.it('fails', function() {
  1316 |             actions.push('fails');
> 1317 |             env.expect(1).toBe(2);
       |                               ^ Magic Number
  1318 |           });
  1319 |
  1320 |           env.afterAll(function() {"
/Users/gabriel.amaralmercos.com/Desktop/research-javascript-test-smells/repositories/jasmine/spec/core/integration/SpecRunningSpec.js,Magic Number,"{'line': 1392, 'column': 31, 'index': 36627}","  1390 |         env.it('spec1', function() {
  1391 |           if (firstExecution) {
> 1392 |             env.expect(1).toBe(2);
       |                               ^ Magic Number
  1393 |           }
  1394 |         });
  1395 |         env.describe('suite1', function() {"
